Sequence,RawData,Position384,OriginalSequence
300,21.5148,Plate 3 K19,518
308,25.4126,Plate 3 M19,519
316,27.2689,Plate 3 O19,520
DMSO,18.8496,Plate 3 A20,521
324,30.0812,Plate 3 C20,522
332,34.1059,Plate 3 E20,523
340,24.9443,Plate 3 G20,524
348,24.3094,Plate 3 I20,525
356,24.4547,Plate 3 K20,526
364,28.8185,Plate 3 M20,527
372,30.0364,Plate 3 O20,528
380,26.8911,Plate 3 B20,529
388,23.4016,Plate 3 D20,530
396,25.5173,Plate 3 F20,531
404,23.6198,Plate 3 H20,532
412,23.5549,Plate 3 J20,533
420,22.7428,Plate 3 L20,534
428,33.2281,Plate 3 N20,535
436,22.1828,Plate 3 P20,536
444,39.509,Plate 3 A22,537
452,151.1567,Plate 3 C22,538
460,55.3315,Plate 3 E22,539
468,44.4436,Plate 3 G22,540
476,32.3912,Plate 3 I22,541
484,99.0893,Plate 3 K22,542
492,27.236,Plate 3 M22,543
500,28.1779,Plate 3 O22,544
508,30.9358,Plate 3 B13,545
516,29.1114,Plate 3 D13,546
524,26.8467,Plate 3 F13,547
532,32.84,Plate 3 H13,548
540,29.6587,Plate 3 J13,549
548,30.9464,Plate 3 L13,550
556,25.8387,Plate 3 N13,551
564,26.2765,Plate 3 P13,552
572,25.0183,Plate 3 B14,553
580,26.9975,Plate 3 D14,554
588,28.3122,Plate 3 F14,555
596,24.7734,Plate 3 H14,556
604,30.9773,Plate 3 J14,557
612,108.7396,Plate 3 L14,558
620,28.3689,Plate 3 N14,559
628,24.3452,Plate 3 P14,560
636,24.4858,Plate 3 B11,561
DMSO,21.3794,Plate 3 D11,562
644,25.188,Plate 3 F11,563
652,25.1214,Plate 3 H11,564
660,24.92,Plate 3 J11,565
668,24.3065,Plate 3 L11,566
676,54.3239,Plate 3 N11,567
684,24.8828,Plate 3 P11,568
692,24.2936,Plate 3 B16,569
700,39.8234,Plate 3 D16,570
708,24.3356,Plate 3 F16,571
716,26.1144,Plate 3 H16,572
724,24.8994,Plate 3 J16,573
732,25.1249,Plate 3 L16,574
740,25.5134,Plate 3 N16,575
748,25.3975,Plate 3 P16,576
756,25.8256,Plate 3 B3,577
764,35.9848,Plate 3 D3,578
772,26.7885,Plate 3 F3,579
780,26.0532,Plate 3 H3,580
788,30.1527,Plate 3 J3,581
796,31.6505,Plate 3 L3,582
804,24.7124,Plate 3 N3,583
812,40.9313,Plate 3 P3,584
820,25.5635,Plate 3 B4,585
828,24.8159,Plate 3 D4,586
836,26.6948,Plate 3 F4,587
844,27.1521,Plate 3 H4,588
852,23.9084,Plate 3 J4,589
860,23.5017,Plate 3 L4,590
868,23.7258,Plate 3 N4,591
876,25.9583,Plate 3 P4,592
884,135.9203,Plate 3 B5,593
892,27.7257,Plate 3 D5,594
900,26.3377,Plate 3 F5,595
908,27.3814,Plate 3 H5,596
916,27.9825,Plate 3 J5,597
924,25.2903,Plate 3 L5,598
932,23.3937,Plate 3 N5,599
940,29.2117,Plate 3 P5,600
948,29.8366,Plate 3 B6,601
956,27.5291,Plate 3 D6,602
DMSO,19.5166,Plate 3 F6,603
964,25.6742,Plate 3 H6,604
972,24.6427,Plate 3 J6,605
980,47.4635,Plate 3 L6,606
988,24.5095,Plate 3 N6,607
996,23.5684,Plate 3 P6,608
1004,23.3173,Plate 3 B7,609
1012,23.8058,Plate 3 D7,610
1020,24.104,Plate 3 F7,611
1028,26.7955,Plate 3 H7,612
1036,124.2997,Plate 3 J7,613
1044,53.4097,Plate 3 L7,614
1052,37.473,Plate 3 N7,615
1060,25.4955,Plate 3 P7,616
1068,31.5128,Plate 3 B8,617
1076,23.4762,Plate 3 D8,618
1084,25.4969,Plate 3 F8,619
1092,23.658,Plate 3 H8,620
1100,24.7326,Plate 3 J8,621
1108,26.9648,Plate 3 L8,622
1116,27.9221,Plate 3 N8,623
1124,31.3925,Plate 3 P8,624
1132,26.0456,Plate 3 B9,625
1140,24.6719,Plate 3 D9,626
1148,38.223,Plate 3 F9,627
1156,26.4604,Plate 3 H9,628
1164,24.0065,Plate 3 J9,629
1172,29.7493,Plate 3 L9,630
1180,27.2557,Plate 3 N9,631
1188,32.4203,Plate 3 P9,632
1196,23.2077,Plate 3 B10,633
1204,28.3144,Plate 3 D10,634
1212,24.7498,Plate 3 F10,635
1220,23.7863,Plate 3 H10,636
1228,33.167,Plate 3 J10,637
1236,26.7103,Plate 3 L10,638
1244,22.3464,Plate 3 N10,639
1252,24.3685,Plate 3 P10,640
1260,24.1394,Plate 3 A23,DMSO
1268,24.6889,Plate 3 C23,DMSO
1276,29.4383,Plate 3 E23,DMSO
DMSO,17.6672,Plate 3 G23,DMSO
DMSO,21.9924,Plate 3 I23,DMSO
5,26.8432,Plate 3 K23,DMSO
13,27.4086,Plate 3 M23,DMSO
21,28.8368,Plate 3 O23,DMSO
29,26.204,Plate 2 B9,641
37,24.0288,Plate 2 D9,642
45,24.2402,Plate 2 F9,643
53,47.7734,Plate 2 H9,644
61,29.4954,Plate 2 J9,645
69,21.7124,Plate 2 L9,646
77,22.5774,Plate 2 N9,647
85,21.7778,Plate 2 P9,648
93,25.7642,Plate 2 B10,649
101,24.1453,Plate 2 D10,650
109,21.3719,Plate 2 F10,651
117,22.0575,Plate 2 H10,652
125,190.3452,Plate 2 J10,653
133,30.2779,Plate 2 L10,654
141,25.0541,Plate 2 N10,655
149,24.3335,Plate 2 P10,656
157,54.9454,Plate 2 B11,657
165,27.8611,Plate 2 D11,658
173,26.0179,Plate 2 F11,659
181,44.8781,Plate 2 H11,660
189,51.3544,Plate 2 J11,661
197,27.5126,Plate 2 L11,662
205,25.2073,Plate 2 N11,663
213,24.5576,Plate 2 P11,664
221,22.3457,Plate 2 B12,665
229,34.2241,Plate 2 D12,666
237,23.9433,Plate 2 F12,667
245,23.2801,Plate 2 H12,668
253,25.311,Plate 2 J12,669
261,25.8031,Plate 2 L12,670
269,22.3278,Plate 2 N12,671
277,23.4435,Plate 2 P12,672
285,22.4031,Plate 2 B13,673
293,62.4727,Plate 2 D13,674
301,76.697,Plate 2 F13,675
309,30.372,Plate 2 H13,676
317,25.7246,Plate 2 J13,677
DMSO,19.0955,Plate 2 L13,678
325,24.0362,Plate 2 N13,679
333,32.2404,Plate 2 P13,680
341,25.893,Plate 2 B14,681
349,28.9093,Plate 2 D14,682
357,27.2613,Plate 2 F14,683
365,25.9414,Plate 2 H14,684
373,26.6426,Plate 2 J14,685
381,25.0206,Plate 2 L14,686
389,23.626,Plate 2 N14,687
397,102.5456,Plate 2 P14,688
405,26.2642,Plate 2 B15,689
413,27.391,Plate 2 D15,690
421,27.713,Plate 2 F15,691
429,24.2783,Plate 2 H15,692
437,25.9157,Plate 2 J15,693
445,26.1908,Plate 2 L15,694
